"Баг, хороо","Малын төрөл","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Баруун бүс","Бүгд","7,246.47","7,570.68","7,600.46","7,856.79","7,760.02","7,630.71","7,510.5","7,169.72","7,413.02","7,546.62","7,584.58","7,571.29","7,657","7,350.63","6,945.97","7,319.57","7,448.67","7,659.06","7,801.25","8,159.19","8,499.7","8,158.19","8,178.9","8,227.63","8,989.7","9,683.02","9,687.38","9,971.21","9,798.66","9,665.36","8,702.4","7,587.27","6,482.23","7,410.78","8,524.74","9,241.84","10,914.92","12,301.84","12,157.44","10,888.36","7,418.46","8,525.36","9,670.83","10,832.75","12,544.51","13,711.18","15,135.83","16,201.58","15,557.38","16,004.3","15,845.18"
"Баруун бүс","Адуу","510.88","535.83","540.69","542.67","552.87","522.15","510.44","477.56","458.91","457.39","457.21","463.15","469.73","447.8","448.56","470.03","486.83","505.13","525.66","549.52","562.2","537.2","506.72","488.27","549.1","610.1","633.42","630.89","623.11","598.77","474.11","390.47","313.22","327.62","347.55","363.49","403.31","441.49","431.12","397.56","299.97","332.69","369.46","414.57","478.38","534.4","607.17","676.12","700.21","734.54","729.5"
"Баруун бүс","Үхэр","497.31","544.17","549.05","563.38","579.95","557.22","546.18","529.12","533.81","536.74","546.71","546.91","536.8","530.57","524.1","563.95","586.21","617.93","635.71","662.93","692.36","656.06","636.32","624.57","730.26","834.05","863.84","856.39","812.4","783.5","557.35","398.26","339.54","357.74","391","421.81","478.77","529.66","501.39","446.38","323.49","369.36","423.84","497.47","599.28","675.36","742.22","815.96","822.74","854.56","858.96"
"Баруун бүс","Тэмээ","169.11","173.19","171.47","172.96","171.55","169.52","168.17","166.48","163.32","164.39","164.08","162.68","159.68","153.87","151.2","153.03","154.05","156.17","158.39","158.64","155.45","136.37","119.56","110.59","112.32","114.12","109.99","106.2","103.9","100.94","88.78","78.9","66.79","68.99","68.06","68.16","70.62","73.07","71.31","70.89","64.8","67.64","74.27","77.79","84.13","88.55","96.21","103.91","107.57","109.83","108.63"
"Баруун бүс","Хонь","4,392.71","4,582.04","4,614.59","4,765.16","4,671.71","4,619.97","4,528.01","4,325.99","4,510.47","4,619.89","4,669.82","4,694.25","4,736.83","4,529.44","4,244.57","4,424.36","4,471.58","4,591.39","4,659.81","4,865.87","5,111.78","4,877.24","4,855.85","4,715.43","4,816.07","4,860.4","4,693.63","4,758.2","4,593.48","4,537.26","4,155.98","3,503.77","2,880.81","3,082.22","3,495.22","3,862.59","4,540.81","5,066.83","5,008.19","4,632.99","3,086.32","3,414.71","4,034.52","4,549.41","5,318.11","5,758.53","6,417.55","6,903.22","6,606.93","6,729.71","6,431.83"
"Баруун бүс","Ямаа","1,676.46","1,735.45","1,724.65","1,812.62","1,783.93","1,761.85","1,757.71","1,670.57","1,746.51","1,768.21","1,746.77","1,704.3","1,753.96","1,688.95","1,577.69","1,708.2","1,750","1,788.44","1,821.67","1,922.22","1,977.92","1,951.31","2,060.45","2,288.77","2,781.96","3,264.35","3,386.51","3,619.54","3,665.77","3,644.9","3,426.17","3,215.88","2,881.88","3,574.21","4,222.91","4,525.8","5,421.41","6,190.8","6,145.44","5,340.53","3,643.89","4,340.96","4,768.74","5,293.51","6,064.62","6,654.35","7,272.68","7,702.37","7,319.93","7,575.66","7,716.26"
"Хангайн бүс","Бүгд","7,286.07","7,311.23","7,429.82","7,450.72","7,743.28","7,782.48","7,543.94","7,473.9","7,764.74","7,764.61","7,765.14","7,979.87","8,236.27","7,749.38","7,323.91","6,997.12","6,977.53","7,041.38","7,079.58","7,584.2","8,080.56","8,083.24","8,209.42","8,136.3","8,945.43","9,570.23","9,810.83","10,652.88","11,439.11","11,958.64","10,711.76","8,683.38","7,724.62","8,131.74","9,050.89","10,090.42","11,852.63","14,030.93","15,971.22","16,716.23","12,216.47","13,472.39","15,379.51","16,790.69","19,283.81","20,481.57","23,163.74","24,404.79","24,323.06","26,246.45","22,752.39"
"Хангайн бүс","Адуу","826.51","786.33","772.26","734.77","748.88","748.44","734.02","722.83","714.99","713.42","688.7","690.18","711.39","694.97","695.47","688.46","709.54","713.55","723.39","753.34","789.54","793.66","773.49","793.49","895.8","991.98","1,030.36","1,077.59","1,149.27","1,220.1","1,024.24","796.74","703.6","679.12","684.9","693.97","740.7","799.64","841.63","876.83","726.5","794.98","874.96","984.86","1,123.01","1,214.76","1,348.35","1,439.7","1,395.38","1,530.38","1,370.59"
"Хангайн бүс","Үхэр","874.99","886.83","887","894.15","928.64","965.18","968.96","967.88","1,006.02","999.69","1,073.2","957.17","978.15","969.23","971.4","967.77","987.01","1,002.97","1,004.22","1,056.15","1,134.86","1,139.46","1,146.25","1,135.83","1,261.01","1,396.05","1,480.42","1,564.09","1,637.74","1,732.77","1,429.96","904.29","808.28","727.78","747.86","815.83","917.95","1,046.66","1,139.85","1,218.82","985.94","1,050.92","1,150.68","1,277.27","1,489.41","1,643.65","1,806.82","1,934.45","1,888.54","2,076.05","1,967.73"
"Хангайн бүс","Тэмээ","112.41","107.06","106.14","107.91","108.17","109.69","109.62","109.93","109.13","109.61","103.65","103.94","105.08","104.78","99.24","93.44","92.5","91.98","90.83","91.59","90.67","81.24","69.13","64.76","66.5","68.1","65.65","65.35","65.49","66.11","60.04","47.96","37.42","39.16","38.82","39.52","39.84","42.37","45.16","49.11","49.01","50.25","57.09","61.26","68.09","71.94","80.6","88.09","93.82","96.07","87.08"
