,Region,Kind,Year,Number of head
1,West,Horse,1970,510.88
2,West,Cow,1970,497.31
3,West,Camel,1970,169.11
4,West,Sheep,1970,4392.71
5,West,Goat,1970,1676.46
7,Khangai,Horse,1970,826.51
8,Khangai,Cow,1970,874.99
9,Khangai,Camel,1970,112.41
10,Khangai,Sheep,1970,4236.43
11,Khangai,Goat,1970,1235.73
13,Center,Horse,1970,571.44
14,Center,Cow,1970,349.18
15,Center,Camel,1970,304.01
16,Center,Sheep,1970,2476.77
17,Center,Goat,1970,999.16
19,East,Horse,1970,398.76
20,East,Cow,1970,372.55
21,East,Camel,1970,47.95
22,East,Sheep,1970,2201.31
23,East,Goat,1970,289.1
25,UB,Horse,1970,7.41
26,UB,Cow,1970,13.81
27,UB,Camel,1970,
28,UB,Sheep,1970,4.21
29,UB,Goat,1970,6.52
31,West,Horse,1971,535.83
32,West,Cow,1971,544.17
33,West,Camel,1971,173.19
34,West,Sheep,1971,4582.04
35,West,Goat,1971,1735.45
37,Khangai,Horse,1971,786.33
38,Khangai,Cow,1971,886.83
39,Khangai,Camel,1971,107.06
40,Khangai,Sheep,1971,4293.62
41,Khangai,Goat,1971,1237.39
43,Center,Horse,1971,544.19
44,Center,Cow,1971,347.05
45,Center,Camel,1971,304.33
46,Center,Sheep,1971,2389.14
47,Center,Goat,1971,939.81
49,East,Horse,1971,395.29
50,East,Cow,1971,382.44
51,East,Camel,1971,47.43
52,East,Sheep,1971,2147.88
53,East,Goat,1971,274.55
55,UB,Horse,1971,7.89
56,UB,Cow,1971,15.6
57,UB,Camel,1971,
58,UB,Sheep,1971,7.49
59,UB,Goat,1971,7.59
61,West,Horse,1972,540.69
62,West,Cow,1972,549.05
63,West,Camel,1972,171.47
64,West,Sheep,1972,4614.59
65,West,Goat,1972,1724.65
67,Khangai,Horse,1972,772.26
68,Khangai,Cow,1972,887.0
69,Khangai,Camel,1972,106.14
70,Khangai,Sheep,1972,4360.45
71,Khangai,Goat,1972,1303.97
73,Center,Horse,1972,544.74
74,Center,Cow,1972,357.56
75,Center,Camel,1972,301.2
76,Center,Sheep,1972,2543.65
77,Center,Goat,1972,1015.8
79,East,Horse,1972,374.89
80,East,Cow,1972,380.37
81,East,Camel,1972,46.23
82,East,Sheep,1972,2185.74
83,East,Goat,1972,286.39
85,UB,Horse,1972,6.8
86,UB,Cow,1972,15.4
87,UB,Camel,1972,
88,UB,Sheep,1972,11.4
89,UB,Goat,1972,7.6
91,West,Horse,1973,542.67
92,West,Cow,1973,563.38
93,West,Camel,1973,172.96
94,West,Sheep,1973,4765.16
95,West,Goat,1973,1812.62
97,Khangai,Horse,1973,734.77
98,Khangai,Cow,1973,894.15
99,Khangai,Camel,1973,107.91
100,Khangai,Sheep,1973,4403.52
101,Khangai,Goat,1973,1310.36
103,Center,Horse,1973,518.57
104,Center,Cow,1973,363.73
105,Center,Camel,1973,274.99
106,Center,Sheep,1973,2620.16
107,Center,Goat,1973,1007.44
109,East,Horse,1973,380.65
110,East,Cow,1973,389.67
111,East,Camel,1973,47.01
112,East,Sheep,1973,2270.33
113,East,Goat,1973,304.47
115,UB,Horse,1973,8.7
116,UB,Cow,1973,23.8
117,UB,Camel,1973,
118,UB,Sheep,1973,13.7
119,UB,Goat,1973,7.3
121,West,Horse,1974,552.87
122,West,Cow,1974,579.95
123,West,Camel,1974,171.55
124,West,Sheep,1974,4671.71
125,West,Goat,1974,1783.93
127,Khangai,Horse,1974,748.88
128,Khangai,Cow,1974,928.64
129,Khangai,Camel,1974,108.17
130,Khangai,Sheep,1974,4615.39
131,Khangai,Goat,1974,1342.21
133,Center,Horse,1974,561.73
134,Center,Cow,1974,405.25
135,Center,Camel,1974,278.84
136,Center,Sheep,1974,2841.73
137,Center,Goat,1974,1126.8
139,East,Horse,1974,393.36
140,East,Cow,1974,423.5
141,East,Camel,1974,48.0
142,East,Sheep,1974,2359.37
143,East,Goat,1974,313.73
145,UB,Horse,1974,8.1
146,UB,Cow,1974,26.6
147,UB,Camel,1974,
148,UB,Sheep,1974,15.5
149,UB,Goat,1974,7.7
151,West,Horse,1975,522.15
152,West,Cow,1975,557.22
153,West,Camel,1975,169.52
154,West,Sheep,1975,4619.97
155,West,Goat,1975,1761.85
157,Khangai,Horse,1975,748.44
158,Khangai,Cow,1975,965.18
159,Khangai,Camel,1975,109.69
160,Khangai,Sheep,1975,4633.59
161,Khangai,Goat,1975,1325.59
163,Center,Horse,1975,571.89
164,Center,Cow,1975,438.74
165,Center,Camel,1975,288.82
166,Center,Sheep,1975,2832.52
167,Center,Goat,1975,1170.71
169,East,Horse,1975,402.95
170,East,Cow,1975,438.21
171,East,Camel,1975,48.97
172,East,Sheep,1975,2353.24
173,East,Goat,1975,329.13
175,UB,Horse,1975,9.2
176,UB,Cow,1975,27.7
177,UB,Camel,1975,
178,UB,Sheep,1975,19.0
179,UB,Goat,1975,7.3
181,West,Horse,1976,510.44
182,West,Cow,1976,546.18
183,West,Camel,1976,168.17
184,West,Sheep,1976,4528.01
185,West,Goat,1976,1757.71
187,Khangai,Horse,1976,734.02
188,Khangai,Cow,1976,968.96
189,Khangai,Camel,1976,109.62
190,Khangai,Sheep,1976,4421.66
191,Khangai,Goat,1976,1309.67
193,Center,Horse,1976,557.9
194,Center,Cow,1976,434.66
195,Center,Camel,1976,281.2
196,Center,Sheep,1976,2715.88
197,Center,Goat,1976,1152.89
199,East,Horse,1976,393.51
200,East,Cow,1976,441.03
201,East,Camel,1976,48.29
202,East,Sheep,1976,2220.24
203,East,Goat,1976,318.62
205,UB,Horse,1976,8.8
206,UB,Cow,1976,27.6
207,UB,Camel,1976,
208,UB,Sheep,1976,20.7
209,UB,Goat,1976,8.2
211,West,Horse,1977,477.56
212,West,Cow,1977,529.12
213,West,Camel,1977,166.48
214,West,Sheep,1977,4325.99
215,West,Goat,1977,1670.57
217,Khangai,Horse,1977,722.83
218,Khangai,Cow,1977,967.88
219,Khangai,Camel,1977,109.93
220,Khangai,Sheep,1977,4370.51
221,Khangai,Goat,1977,1302.75
223,Center,Horse,1977,522.2
224,Center,Cow,1977,425.79
225,Center,Camel,1977,285.55
226,Center,Sheep,1977,2518.68
227,Center,Goat,1977,1107.69
229,East,Horse,1977,370.89
230,East,Cow,1977,439.47
231,East,Camel,1977,47.01
232,East,Sheep,1977,2194.81
233,East,Goat,1977,321.3
235,UB,Horse,1977,9.2
236,UB,Cow,1977,27.6
237,UB,Camel,1977,
238,UB,Sheep,1977,20.3
239,UB,Goat,1977,8.0
241,West,Horse,1978,458.91
242,West,Cow,1978,533.81
243,West,Camel,1978,163.32
244,West,Sheep,1978,4510.47
245,West,Goat,1978,1746.51
247,Khangai,Horse,1978,714.99
248,Khangai,Cow,1978,1006.02
249,Khangai,Camel,1978,109.13
250,Khangai,Sheep,1978,4541.27
251,Khangai,Goat,1978,1393.33
253,Center,Horse,1978,525.9
254,Center,Cow,1978,443.5
255,Center,Camel,1978,287.78
256,Center,Sheep,1978,2716.25
257,Center,Goat,1978,1211.28
259,East,Horse,1978,370.57
260,East,Cow,1978,468.51
261,East,Camel,1978,48.35
262,East,Sheep,1978,2369.81
263,East,Goat,1978,346.65
265,UB,Horse,1978,8.1
266,UB,Cow,1978,29.4
267,UB,Camel,1978,
268,UB,Sheep,1978,14.9
269,UB,Goat,1978,6.9
271,West,Horse,1979,457.39
272,West,Cow,1979,536.74
273,West,Camel,1979,164.39
274,West,Sheep,1979,4619.89
275,West,Goat,1979,1768.21
277,Khangai,Horse,1979,713.42
278,Khangai,Cow,1979,999.69
279,Khangai,Camel,1979,109.61
280,Khangai,Sheep,1979,4568.24
281,Khangai,Goat,1979,1388.65
283,Center,Horse,1979,528.86
284,Center,Cow,1979,443.73
285,Center,Camel,1979,293.24
286,Center,Sheep,1979,2736.26
287,Center,Goat,1979,1225.28
289,East,Horse,1979,380.19
290,East,Cow,1979,474.11
291,East,Camel,1979,49.02
292,East,Sheep,1979,2448.04
293,East,Goat,1979,357.05
295,UB,Horse,1979,27.0
296,UB,Cow,1979,13.7
297,UB,Camel,1979,7.4
298,UB,Sheep,1979,4.7
299,UB,Goat,1979,52.8
301,West,Horse,1980,457.21
302,West,Cow,1980,546.71
303,West,Camel,1980,164.08
304,West,Sheep,1980,4669.82
305,West,Goat,1980,1746.77
307,Khangai,Horse,1980,688.7
308,Khangai,Cow,1980,1073.2
309,Khangai,Camel,1980,103.65
310,Khangai,Sheep,1980,4613.19
311,Khangai,Goat,1980,1389.41
313,Center,Horse,1980,495.36
314,Center,Cow,1980,411.98
315,Center,Camel,1980,277.96
316,Center,Sheep,1980,2630.69
317,Center,Goat,1980,1103.06
319,East,Horse,1980,336.87
320,East,Cow,1980,442.91
321,East,Camel,1980,45.78
322,East,Sheep,1980,2302.36
323,East,Goat,1980,322.75
325,UB,Horse,1980,7.28
326,UB,Cow,1980,25.29
327,UB,Camel,1980,0.02
328,UB,Sheep,1980,14.65
329,UB,Goat,1980,4.76
331,West,Horse,1981,463.15
332,West,Cow,1981,546.91
333,West,Camel,1981,162.68
334,West,Sheep,1981,4694.25
335,West,Goat,1981,1704.3
337,Khangai,Horse,1981,690.18
338,Khangai,Cow,1981,957.17
339,Khangai,Camel,1981,103.94
340,Khangai,Sheep,1981,4802.85
341,Khangai,Goat,1981,1425.73
343,Center,Horse,1981,476.81
344,Center,Cow,1981,386.2
345,Center,Camel,1981,272.12
346,Center,Sheep,1981,2714.4
347,Center,Goat,1981,1097.77
349,East,Horse,1981,352.91
350,East,Cow,1981,459.74
351,East,Camel,1981,47.46
352,East,Sheep,1981,2486.57
353,East,Goat,1981,362.12
355,UB,Horse,1981,8.08
356,UB,Cow,1981,26.28
357,UB,Camel,1981,0.02
358,UB,Sheep,1981,15.95
359,UB,Goat,1981,5.46
361,West,Horse,1982,469.73
362,West,Cow,1982,536.8
363,West,Camel,1982,159.68
364,West,Sheep,1982,4736.83
365,West,Goat,1982,1753.96
367,Khangai,Horse,1982,711.39
368,Khangai,Cow,1982,978.15
369,Khangai,Camel,1982,105.08
370,Khangai,Sheep,1982,4928.75
371,Khangai,Goat,1982,1512.9
373,Center,Horse,1982,492.65
374,Center,Cow,1982,412.15
375,Center,Camel,1982,274.79
376,Center,Sheep,1982,2854.6
377,Center,Goat,1982,1183.7
379,East,Horse,1982,345.82
380,East,Cow,1982,440.64
381,East,Camel,1982,45.07
382,East,Sheep,1982,2416.29
383,East,Goat,1982,344.82
385,UB,Horse,1982,8.27
386,UB,Cow,1982,27.79
387,UB,Camel,1982,0.03
388,UB,Sheep,1982,18.33
389,UB,Goat,1982,6.41
391,West,Horse,1983,447.8
392,West,Cow,1983,530.57
393,West,Camel,1983,153.87
394,West,Sheep,1983,4529.44
395,West,Goat,1983,1688.95
397,Khangai,Horse,1983,694.97
398,Khangai,Cow,1983,969.23
399,Khangai,Camel,1983,104.78
400,Khangai,Sheep,1983,4539.5
401,Khangai,Goat,1983,1440.89
403,Center,Horse,1983,473.62
