Rainfall - (MM), Year, Statistics, Country, ISO3
1.9, 1991, Jan Average, Mongolia, MNG
1.6, 1991, Feb Average, Mongolia, MNG
5.9, 1991, Mar Average, Mongolia, MNG
9.2, 1991, Apr Average, Mongolia, MNG
13.1, 1991, May Average, Mongolia, MNG
45.2, 1991, Jun Average, Mongolia, MNG
60.6, 1991, Jul Average, Mongolia, MNG
62.3, 1991, Aug Average, Mongolia, MNG
30.6, 1991, Sep Average, Mongolia, MNG
5.8, 1991, Oct Average, Mongolia, MNG
5.1, 1991, Nov Average, Mongolia, MNG
3.6, 1991, Dec Average, Mongolia, MNG
1.3, 1992, Jan Average, Mongolia, MNG
1.2, 1992, Feb Average, Mongolia, MNG
4.4, 1992, Mar Average, Mongolia, MNG
11.0, 1992, Apr Average, Mongolia, MNG
17.9, 1992, May Average, Mongolia, MNG
29.3, 1992, Jun Average, Mongolia, MNG
51.1, 1992, Jul Average, Mongolia, MNG
57.6, 1992, Aug Average, Mongolia, MNG
31.2, 1992, Sep Average, Mongolia, MNG
6.4, 1992, Oct Average, Mongolia, MNG
6.0, 1992, Nov Average, Mongolia, MNG
3.9, 1992, Dec Average, Mongolia, MNG
0.7, 1993, Jan Average, Mongolia, MNG
2.8, 1993, Feb Average, Mongolia, MNG
5.4, 1993, Mar Average, Mongolia, MNG
7.4, 1993, Apr Average, Mongolia, MNG
16.1, 1993, May Average, Mongolia, MNG
43.7, 1993, Jun Average, Mongolia, MNG
111.1, 1993, Jul Average, Mongolia, MNG
60.8, 1993, Aug Average, Mongolia, MNG
20.4, 1993, Sep Average, Mongolia, MNG
5.9, 1993, Oct Average, Mongolia, MNG
4.8, 1993, Nov Average, Mongolia, MNG
3.5, 1993, Dec Average, Mongolia, MNG
1.9, 1994, Jan Average, Mongolia, MNG
1.3, 1994, Feb Average, Mongolia, MNG
3.1, 1994, Mar Average, Mongolia, MNG
10.9, 1994, Apr Average, Mongolia, MNG
14.0, 1994, May Average, Mongolia, MNG
61.4, 1994, Jun Average, Mongolia, MNG
82.4, 1994, Jul Average, Mongolia, MNG
56.6, 1994, Aug Average, Mongolia, MNG
31.4, 1994, Sep Average, Mongolia, MNG
11.3, 1994, Oct Average, Mongolia, MNG
5.2, 1994, Nov Average, Mongolia, MNG
4.1, 1994, Dec Average, Mongolia, MNG
1.0, 1995, Jan Average, Mongolia, MNG
0.9, 1995, Feb Average, Mongolia, MNG
6.2, 1995, Mar Average, Mongolia, MNG
9.6, 1995, Apr Average, Mongolia, MNG
18.5, 1995, May Average, Mongolia, MNG
27.5, 1995, Jun Average, Mongolia, MNG
59.5, 1995, Jul Average, Mongolia, MNG
59.1, 1995, Aug Average, Mongolia, MNG
19.7, 1995, Sep Average, Mongolia, MNG
9.6, 1995, Oct Average, Mongolia, MNG
2.1, 1995, Nov Average, Mongolia, MNG
1.8, 1995, Dec Average, Mongolia, MNG
1.9, 1996, Jan Average, Mongolia, MNG
1.7, 1996, Feb Average, Mongolia, MNG
4.8, 1996, Mar Average, Mongolia, MNG
6.7, 1996, Apr Average, Mongolia, MNG
12.2, 1996, May Average, Mongolia, MNG
35.6, 1996, Jun Average, Mongolia, MNG
72.3, 1996, Jul Average, Mongolia, MNG
55.4, 1996, Aug Average, Mongolia, MNG
10.4, 1996, Sep Average, Mongolia, MNG
5.5, 1996, Oct Average, Mongolia, MNG
5.6, 1996, Nov Average, Mongolia, MNG
4.7, 1996, Dec Average, Mongolia, MNG
2.2, 1997, Jan Average, Mongolia, MNG
1.2, 1997, Feb Average, Mongolia, MNG
3.0, 1997, Mar Average, Mongolia, MNG
4.9, 1997, Apr Average, Mongolia, MNG
20.3, 1997, May Average, Mongolia, MNG
36.1, 1997, Jun Average, Mongolia, MNG
80.2, 1997, Jul Average, Mongolia, MNG
48.8, 1997, Aug Average, Mongolia, MNG
15.1, 1997, Sep Average, Mongolia, MNG
4.0, 1997, Oct Average, Mongolia, MNG
3.9, 1997, Nov Average, Mongolia, MNG
1.7, 1997, Dec Average, Mongolia, MNG
1.9, 1998, Jan Average, Mongolia, MNG
2.3, 1998, Feb Average, Mongolia, MNG
4.0, 1998, Mar Average, Mongolia, MNG
12.2, 1998, Apr Average, Mongolia, MNG
15.4, 1998, May Average, Mongolia, MNG
42.2, 1998, Jun Average, Mongolia, MNG
88.1, 1998, Jul Average, Mongolia, MNG
64.8, 1998, Aug Average, Mongolia, MNG
22.8, 1998, Sep Average, Mongolia, MNG
9.7, 1998, Oct Average, Mongolia, MNG
5.8, 1998, Nov Average, Mongolia, MNG
1.5, 1998, Dec Average, Mongolia, MNG
1.5, 1999, Jan Average, Mongolia, MNG
1.4, 1999, Feb Average, Mongolia, MNG
5.0, 1999, Mar Average, Mongolia, MNG
9.5, 1999, Apr Average, Mongolia, MNG
21.3, 1999, May Average, Mongolia, MNG
29.8, 1999, Jun Average, Mongolia, MNG
49.3, 1999, Jul Average, Mongolia, MNG
48.5, 1999, Aug Average, Mongolia, MNG
29.5, 1999, Sep Average, Mongolia, MNG
13.7, 1999, Oct Average, Mongolia, MNG
4.4, 1999, Nov Average, Mongolia, MNG
2.8, 1999, Dec Average, Mongolia, MNG
3.1, 2000, Jan Average, Mongolia, MNG
2.0, 2000, Feb Average, Mongolia, MNG
4.1, 2000, Mar Average, Mongolia, MNG
13.0, 2000, Apr Average, Mongolia, MNG
17.5, 2000, May Average, Mongolia, MNG
38.1, 2000, Jun Average, Mongolia, MNG
41.4, 2000, Jul Average, Mongolia, MNG
57.3, 2000, Aug Average, Mongolia, MNG
14.3, 2000, Sep Average, Mongolia, MNG
10.8, 2000, Oct Average, Mongolia, MNG
7.4, 2000, Nov Average, Mongolia, MNG
4.4, 2000, Dec Average, Mongolia, MNG
3.3, 2001, Jan Average, Mongolia, MNG
1.4, 2001, Feb Average, Mongolia, MNG
4.9, 2001, Mar Average, Mongolia, MNG
13.0, 2001, Apr Average, Mongolia, MNG
17.3, 2001, May Average, Mongolia, MNG
39.2, 2001, Jun Average, Mongolia, MNG
39.9, 2001, Jul Average, Mongolia, MNG
40.4, 2001, Aug Average, Mongolia, MNG
18.5, 2001, Sep Average, Mongolia, MNG
9.4, 2001, Oct Average, Mongolia, MNG
6.9, 2001, Nov Average, Mongolia, MNG
5.1, 2001, Dec Average, Mongolia, MNG
1.9, 2002, Jan Average, Mongolia, MNG
1.9, 2002, Feb Average, Mongolia, MNG
4.6, 2002, Mar Average, Mongolia, MNG
15.6, 2002, Apr Average, Mongolia, MNG
28.0, 2002, May Average, Mongolia, MNG
34.7, 2002, Jun Average, Mongolia, MNG
46.7, 2002, Jul Average, Mongolia, MNG
21.8, 2002, Aug Average, Mongolia, MNG
9.9, 2002, Sep Average, Mongolia, MNG
12.2, 2002, Oct Average, Mongolia, MNG
5.1, 2002, Nov Average, Mongolia, MNG
3.3, 2002, Dec Average, Mongolia, MNG
2.7, 2003, Jan Average, Mongolia, MNG
3.6, 2003, Feb Average, Mongolia, MNG
5.4, 2003, Mar Average, Mongolia, MNG
12.8, 2003, Apr Average, Mongolia, MNG
35.1, 2003, May Average, Mongolia, MNG
29.7, 2003, Jun Average, Mongolia, MNG
70.9, 2003, Jul Average, Mongolia, MNG
