,Temperature - (Celsius), Year, Statistics,Rainfall - (MM)
0,-20.8,1961, Jan Average,2.7
1,-15.7,1961, Feb Average,0.7
2,-8.3,1961, Mar Average,4.6
3,4.5,1961, Apr Average,9.2
4,8.7,1961, May Average,24.1
5,14.3,1961, Jun Average,24.9
6,16.9,1961, Jul Average,76.9
7,14.4,1961, Aug Average,65.3
8,9.0,1961, Sep Average,19.4
9,-1.4,1961, Oct Average,8.7
10,-9.3,1961, Nov Average,5.2
11,-19.0,1961, Dec Average,3.0
12,-21.3,1962, Jan Average,1.1
13,-16.8,1962, Feb Average,1.6
14,-8.7,1962, Mar Average,4.2
15,0.6,1962, Apr Average,6.1
16,9.8,1962, May Average,9.6
17,14.9,1962, Jun Average,38.7
18,16.9,1962, Jul Average,69.9
19,16.2,1962, Aug Average,64.9
20,9.8,1962, Sep Average,19.6
21,0.7,1962, Oct Average,6.3
22,-13.1,1962, Nov Average,1.5
23,-14.1,1962, Dec Average,1.9
24,-18.9,1963, Jan Average,1.7
25,-15.3,1963, Feb Average,3.5
26,-4.3,1963, Mar Average,4.2
27,-1.1,1963, Apr Average,9.2
28,10.3,1963, May Average,8.6
29,15.0,1963, Jun Average,33.2
30,17.1,1963, Jul Average,75.3
31,16.6,1963, Aug Average,47.7
32,8.7,1963, Sep Average,24.7
33,0.1,1963, Oct Average,7.4
34,-8.5,1963, Nov Average,3.4
35,-16.2,1963, Dec Average,1.9
36,-20.1,1964, Jan Average,2.0
37,-25.1,1964, Feb Average,3.1
38,-9.4,1964, Mar Average,7.3
39,2.3,1964, Apr Average,26.3
40,10.3,1964, May Average,32.8
41,15.6,1964, Jun Average,34.1
42,17.1,1964, Jul Average,60.1
43,16.1,1964, Aug Average,86.5
44,8.4,1964, Sep Average,23.7
45,-1.7,1964, Oct Average,10.8
46,-8.8,1964, Nov Average,2.5
47,-17.0,1964, Dec Average,3.4
48,-19.3,1965, Jan Average,1.4
49,-16.6,1965, Feb Average,0.6
50,-8.1,1965, Mar Average,3.6
51,1.1,1965, Apr Average,8.7
52,10.8,1965, May Average,14.4
53,16.4,1965, Jun Average,31.2
54,16.6,1965, Jul Average,70.4
55,15.6,1965, Aug Average,38.2
56,9.3,1965, Sep Average,11.0
57,2.3,1965, Oct Average,7.1
58,-10.1,1965, Nov Average,6.1
59,-18.5,1965, Dec Average,3.2
60,-19.9,1966, Jan Average,3.1
61,-14.4,1966, Feb Average,3.0
62,-8.4,1966, Mar Average,6.8
63,-0.1,1966, Apr Average,8.9
64,9.5,1966, May Average,23.3
65,15.2,1966, Jun Average,36.2
66,16.2,1966, Jul Average,66.0
67,15.6,1966, Aug Average,64.1
68,11.0,1966, Sep Average,11.3
69,1.5,1966, Oct Average,9.7
70,-11.2,1966, Nov Average,4.4
71,-23.5,1966, Dec Average,2.7
72,-21.6,1967, Jan Average,0.7
73,-18.6,1967, Feb Average,1.8
74,-7.9,1967, Mar Average,3.3
75,2.0,1967, Apr Average,12.0
76,12.1,1967, May Average,28.9
77,14.5,1967, Jun Average,60.8
78,17.3,1967, Jul Average,75.2
79,15.2,1967, Aug Average,41.5
80,8.6,1967, Sep Average,12.3
81,1.4,1967, Oct Average,5.8
82,-14.0,1967, Nov Average,8.5
83,-21.7,1967, Dec Average,1.5
84,-23.6,1968, Jan Average,2.2
85,-22.6,1968, Feb Average,2.1
86,-7.8,1968, Mar Average,7.2
87,1.7,1968, Apr Average,6.0
88,9.5,1968, May Average,21.8
89,16.5,1968, Jun Average,25.2
90,18.8,1968, Jul Average,59.8
91,14.3,1968, Aug Average,47.8
92,7.1,1968, Sep Average,30.8
93,-0.7,1968, Oct Average,9.9
94,-10.0,1968, Nov Average,4.3
95,-17.2,1968, Dec Average,3.0
96,-26.7,1969, Jan Average,1.8
97,-23.2,1969, Feb Average,1.0
98,-9.9,1969, Mar Average,4.7
99,1.9,1969, Apr Average,8.2
100,9.6,1969, May Average,13.6
101,16.0,1969, Jun Average,26.8
102,17.7,1969, Jul Average,60.2
103,13.9,1969, Aug Average,73.7
104,8.2,1969, Sep Average,25.4
105,1.1,1969, Oct Average,8.2
106,-10.8,1969, Nov Average,3.4
107,-19.1,1969, Dec Average,1.5
108,-20.0,1970, Jan Average,0.8
109,-17.1,1970, Feb Average,2.3
110,-14.6,1970, Mar Average,2.5
111,1.2,1970, Apr Average,9.9
112,9.2,1970, May Average,14.8
113,15.7,1970, Jun Average,28.0
114,18.5,1970, Jul Average,60.0
115,16.1,1970, Aug Average,59.2
116,7.1,1970, Sep Average,29.8
117,-0.0,1970, Oct Average,5.3
118,-12.1,1970, Nov Average,3.9
119,-20.5,1970, Dec Average,2.8
120,-19.7,1971, Jan Average,2.0
121,-19.6,1971, Feb Average,1.7
122,-11.9,1971, Mar Average,4.9
123,2.4,1971, Apr Average,6.6
124,9.4,1971, May Average,15.1
125,14.0,1971, Jun Average,50.5
126,16.6,1971, Jul Average,64.8
127,15.5,1971, Aug Average,46.8
128,8.3,1971, Sep Average,23.4
129,1.1,1971, Oct Average,4.9
130,-7.9,1971, Nov Average,3.0
131,-18.7,1971, Dec Average,4.1
132,-20.1,1972, Jan Average,2.9
133,-20.3,1972, Feb Average,0.8
134,-6.8,1972, Mar Average,2.7
135,2.9,1972, Apr Average,6.4
136,10.7,1972, May Average,13.7
137,15.9,1972, Jun Average,40.5
138,17.2,1972, Jul Average,52.7
139,15.6,1972, Aug Average,32.3
140,8.2,1972, Sep Average,19.9
141,-0.2,1972, Oct Average,11.0
142,-9.8,1972, Nov Average,5.5
143,-17.1,1972, Dec Average,2.9
144,-18.8,1973, Jan Average,1.2
145,-17.5,1973, Feb Average,2.8
146,-7.7,1973, Mar Average,2.6
147,2.4,1973, Apr Average,6.5
148,8.0,1973, May Average,15.7
149,15.9,1973, Jun Average,56.8
150,16.6,1973, Jul Average,64.5
151,14.4,1973, Aug Average,73.7
152,10.6,1973, Sep Average,32.4
153,-0.3,1973, Oct Average,11.2
154,-8.0,1973, Nov Average,3.4
155,-15.6,1973, Dec Average,1.1
156,-20.1,1974, Jan Average,1.6
157,-19.1,1974, Feb Average,2.6
158,-10.9,1974, Mar Average,4.4
159,2.9,1974, Apr Average,9.7
160,9.7,1974, May Average,6.7
161,15.0,1974, Jun Average,25.2
162,17.8,1974, Jul Average,74.9
163,17.0,1974, Aug Average,63.7
164,8.2,1974, Sep Average,26.5
